"US Chief Financial Officers at PUBLIC COMPANIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mihalik","Trevor","Trevor I. Mihalik","","1966","52","Male","Unknown","Sempra Energy","271","Public Company","Industrial and Natural Resources ","  11,207.0 ","  29,309.7 ","  16,046 ","www.sempra.com","Executive Vice President/Chief Financial Officer","","Yes","1-May-18","14-Jul-12","  0.2 ","  6.0 ","Internal","Senior Vice President/Chief Accounting Officer/Controller","Accounting","Avangrid Renewables LLC","Industrial and Natural Resources ","Private ","Senior VP - Finance ","Other","28","None","None","8","None","6","None","None","None","12","None","None","9","9","None","None","None","None","None","None","","None","None","None","18","9","None","US","27","None","None","None","None","None","None","None","None","None","Creighton University ","Accounting","1990","Yes","Rice University","2006","No","NA"
"","Saccaro","Jay","James (Jay) K Saccaro","IQ128980744","1972","46","Male","","Baxter International","283","Public Company","Healthcare ","  10,561.0 ","  39,008.2 ","  47,000 ","www.baxter.com","Executive Vice President/Chief Financial Officer","","No","1-Jun-15","4-Aug-14","  3.2 ","  4.0 ","Internal","Corporate Vice President and Special Assistant to Chief Executive Officer","Non-Finance","HILL-ROM HLDGS INC","Healthcare ","Public ","SVP/Chief Financial Officer","CFO/FD","15","3","None","None","None","None","9","None","None","None","None","None","4","None","None","None","None","None","None","None","","4","None","None","None","1","None","US","21","None","None","None","None","None","None","None","None","None","Stanford University","Economics","1995","Yes ","Stanford University","1996","No","NA"
"","Okray","Tom","Tom Okray","IQ558465618","1962","56","Male","","W.W. Grainger","287","Public Company","Industrial and Natural Resources ","  10,424.9 ","  17,179.8 ","  25,050 ","www.grainger.com","Senior Vice Vice President/Chief Financial Officer","","No","16-Apr-18","16-Apr-18","  0.3 ","  0.3 ","External","NA","NA","ADVANCE AUTO PARTS INC","Industrial and Natural Resources ","Public ","Executive Vice President/Chief Financial Officer ","CFO/FD","8","7","2","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","","1","None","None","17","None","None","US","28","None","None","None","None","None","None","None","None","None"," Michigan State University  ","Science ","1985","Yes"," University of Chicago, Booth School of Business  ","1989","No","NA"
"","Bradley","Kevin","Kevin P Bradley","IQ532310087","1962","56","Male","","United States Steel","246","Public Company","Industrial and Natural Resources ","  12,250.0 ","  6,339.9 ","  29,200 ","www.ussteel.com","Executive Vice President/Chief Financial Officer","","No","27-Jul-17","27-Jul-17","  1.0 ","  1.0 ","External","NA","NA","TEREX CORP","Industrial and Natural Resources ","Public ","Senior Vice President/Chief Financial Officer","CFO/FD","21","5","None","None","None","None","None","None","None","None","None","None","18","None","None","None","None","None","None","None","","None","15","None","12","9","None","US","31","None","None","None","None","None","None","None","None","None","Montclair State University","Science","1984","No","NA","NA","No","NA"
"","Earhart","Cindy","Cynthia (Cindy) C Earhart","IQ25068401","1961","57","Female","","Norfolk Southern","284","Public Company","Industrial and Natural Resources ","  10,551.0 ","  43,013.5 ","  27,110 ","www.nscorp.com","Chief Financial Officer/Executive Vice President, Finance","","Yes","15-Aug-17","1-Jan-85","  0.9 ","  33.6 ","Internal","Executive Vice President/Chief Information Officer","Non-Finance","Ernst & Young LLP","Technology","Partnership","Unknown","Unknown","17","1","16","None","None","None","None","None","None","None","None","None","None","Unknown","None","None","None","None","None","None","","None","None","None","32","None","None","US","20","None","None","None","None","None","None","None","None","None","University of Missouri Columbia ","Science ","1983","No","NA","NA","No","NA"
"","Worrell","Brian","Brian Worrell","IQ530329030","1969","49","Male","American","Baker Hughes","N/A","Public Company","Industrial and Natural Resources ","  17,259.0 ","  14,289.6 ","  64,000 ","www.bhge.com","Chief Financial Officer","","No","3-Jul-17","3-Jul-17","  1.1 ","  1.1 ","External","NA","NA","GENERAL ELECTRIC CO","Industrial and Natural Resources ","Public ","Vice President - Corporate Planning/Analysis ","FP&A","25","1","None","5","None","7","9","None","None","None","None","None","7","Unknown","None","None","None","None","None","None","","None","None","None","25","None","None","US and Italy ","22","None","None","None","None","3","None","None","None","None","University of North Carolina, Chapel Hill ","Arts ","Unknown","No","NA","NA","No","NA"
"","Backman","Mats","Mats Backman","IQ333943244","1968","50","Male","","Autoliv","289","Public Company","Industrial and Natural Resources ","  10,382.6 ","  11,919.9 ","  64,004 ","www.autoliv.com","Group Vice President/Chief Financial Officer","","No","1-May-16","1-May-16","  2.2 ","  2.2 ","External","NA","NA","SANDVIK AB","Industrial and Natural Resources ","Public","Executive Vice President/Chief Financial Officer","CFO/FD","24","5","5","1","None","2","None","None","None","1","None","None","11","1","None","None","None","None","None","None","","None","2","None","20","1","None","Sweden ","None","None","None","None","None","24","None","None","None","Executive Vice President/Chief Financial Officer, SANDVIK AB, 2013","Stockholms Universitet  ","Business Administration & Economics ","Unknown","No","NA","NA","No","NA"
"","LaClair","Jennifer","Jennifer A LaClair","IQ547411036","","Unknown","Female","","Ally Financial","299","Public Company","Financial Services ","  5,773.0 ","  11,499.2 ","  7,900 ","www.ally.com","Chief Financial Officer","","No","18-Dec-17","18-Dec-17","  0.6 ","  0.6 ","External","NA","NA","PNC Bank NA","Financial Services ","Private "," Head of Division  ","Other","11","1","None","None","None","10","None","None","None","None","None","None","None","None","None","None","None","None","None","None","","None","10","None","None","6","None","US","16","None","None","None","None","None","None","None","None","None"," State University of New York, Buffalo (SUNYB)  ","Arts","Unknown","Yes "," Weatherhead School of Management, Case Western Reserve University  ","2001","No","NA"
"","Byrd","Heath","Heath R Byrd","IQ38990805","1966","52","Male","","Sonic Automotive","298","Public Company","Industrial and Natural Resources ","  9,867.2 ","  899.0 ","  9,750 ","www.sonicautomotive.com","Executive Vice President/Chief Financial Officer","","Yes","1-Apr-13","13-Nov-07","  5.3 ","  10.7 ","Internal","Vice President/Chief Information Officer ","Non-finance","GEVITY HR INC","Technology","Public","Vice President - Operations","Non-finance","5","5","5","None","None","None","None","None","None","None","None","None","5","3","None","None","None","None","None","None","","None","None","3","11","11","None","US","24","None","None","None","None","None","None","None","None","None","North Carolina State University","Science ","1989","No","NA","NA","Unknown","Duke University"
"","Snead ","Robert","Robert K Snead ","","","Unknown","Male","","Owens & Minor","318","Public Company","Healthcare","  9,318.3 ","  1,026.1 ","  8,600 ","www.owens-minor.com","Vice President and Interim Chief Financial Officer","","Yes","1-Jun-18","19-Mar-10","  0.1 ","  8.4 ","Internal","Group Vice President, Finance","Other","Barclays Capital Inc  ","Financial Services","Private","Director, Mergers & Acquisitions","M&A","14","None","None","None","7","None","None","None","6","0.6","7","None","None","Unknown","Unknown","Unknown","Unknown","6","None","None","","None","6","8","Unknown","Unknown","Unknown","US","14","None","None","None","None","None","None","None","None","None","University of Virginia  ","Commerce","Unknown","Yes","Columbia Business School","Unknown","No","NA"
"","Douglas","Sean","Sean Douglas","IQ12868625","1964","54","Male","","Huntsman","282","Public Company","Industrial and Natural Resources ","  8,358.0 ","  7,425.4 ","  10,000 ","www.huntsman.com","Executive Vice President/Chief Financial Officer","","No","1-Jan-17","1-Jan-90","  1.6 ","  28.6 ","Internal","Vice President/Treasurer","Treasury","Price Waterhouse LLP","Technology","Partnership","Unknown","Unknown","21","1","None","None","8","None","None","None","None","1","8","None","1","Unable to Calculate","None","None","None","None","None","None","","None","None","None","27","Unable to Calculate ","None","US","27","None","None","None","None","None","None","None","None","None","Utah, University of USA ","Science ","Unknown","No ","NA","NA","No","NA"
"","Eisenberg","Glenn","Glenn Andrew Eisenberg","IQ266187392","1962","56","Male","American","Laboratory Corp. of America","286","Public Company","Healthcare ","  10,205.9 ","  18,497.3 ","  60,000 ","www.labcorp.com","Executive Vice President/Chief Financial Officer/Treasurer","","No","16-Jun-14","16-Jun-14","  4.1 ","  4.1 ","External","NA","NA","TIMKEN CO","Industrial and Natural Resources ","Public","Executive Vice President/Chief Financial Officer","CFO/FD","19","16","3","None","None","None","None","None","None","None","1","None","15","4","None","None","None","None","None","None","","None","None","None","25","None","None","US","27","None","None","None","None","None","None","None","None","None","Tulane University ","Arts","1982","Yes","Georgia State University ","1988","No","NA"
"","West","Mindy","Malynda (Mindy) K West","IQ248506208","1969","49","Female","","Murphy USA","279","Public Company","Industrial and Natural Resources ","  10,853.4 ","  2,391.2 ","  6,900 ","www.murphyusa.com","Executive Vice President/Chief Financial Officer/Treasurer","","No","1-Aug-13","1-Jul-01","  5.0 ","  17.1 ","Internal","Head of Finance","Other","Deloitte & Touche (Philadelphia)","Technology ","Private ","Senior Auditor","Other","17","5","1","None","None","None","None","12","None","None","11","None","5","12","None","None","None","None","None","None","","None","None","None","17","None","None","US","17","None","None","None","None","None","None","None","None","Executive Vice President/Chief Financial Officer/Treasurer,  MURPHY USA INC, 2013","Southern Arkansas University ","Accounting","1996","No","NA","NA","No","NA"
"","Shepherd","Jeff","Jeffrey (Jeff) W Shepherd","IQ422005060","1972","46","Male","","Advance Auto Parts","317","Public Company","Industrial and Natural Resources ","  9,373.8 ","  9,573.1 ","  55,500 ","www.advanceautoparts.com","Senior Vice President/Chief Accounting Officer/Controller/Interim Chief Financial Officer","","Yes","13-Apr-18","1-Mar-17","  0.3 ","  1.4 ","Internal","Senior Vice President/Chief Accounting Officer/Controller","Accounting","General Motors Europe AG","Industrial and Natural Resources ","Private","Controller ","Other","3","None","3","None","None","None","None","None","None","None","None","None","None","16","None","None","None","None","None","None","","None","16","None","8","16","None","US","24","None","None","None","None","None","None","None","None","None","Central Michigan University ","Accounting","1994","No","NA","NA","No","NA"
"","Park","Tony","Anthony (Tony) J Park","IQ23143676","1966","52","Male","","Fidelity National Financial","302","Public Company","Financial Services ","  7,668.0 ","  10,386.0 ","  24,367 ","www.fnf.com","Executive Vice President/Chief Financial Officer","","Yes","1-Oct-05","1-Jan-91","  12.8 ","  27.6 ","Internal","Division Chief Accounting Officer ","Accounting","NA","NA","NA","NA","NA","26","None","5","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","","None","26","None","None","None","None","US","26","None","None","None","None","None","None","None","None","None","University of California ","Arts ","1989","No","Jacksonville University ","2006","No","NA"
"","Crocco","Michael","Michael Scott Crocco","IQ37524513","1964","54","Male","American","Air Products & Chemicals","345","Public Company","Industrial and Natural Resources ","  8,187.6 ","  35,441.7 ","  15,150 ","www.airproducts.com","Executive Vice President/Chief Financial Officer","","Yes ","28-Feb-13","1-Jan-90","  5.4 ","  28.6 ","Internal","Vice President and Controller ","Controllership","GENERAL ELECTRIC CO","Industrial and Natural Resources ","Public","Senior Vice President and Chief Financial Officer ","CFO/FD","27","5","10","3","None","None","1","3","None","None","5","3","2","None","None","None","None","None","None","None","","None","None","None","31","None","None","US","31","None","None","None","None","None","None","None","None","None","Bucknell University ","Science ","1986","Yes"," Cornell University  ","1990","No","NA"
